web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location
"1699912011-421","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","""Hinüber wall ich"" - Novalis und seine Hymnen an die Nacht","Samstag, 09. Dezember, 17:00","Sprachkunst und Gestik, Zürich (CH)"
"1699912011-422","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","Plattentaufe PTM - ROT IST DAS BLUT","Samstag, 09. Dezember, 18:00","REFUGIUM, Zürich (CH)"
"1699912011-423","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","This Is Rock","Samstag, 09. Dezember, 18:00","Hallenstadion, Zürich (CH)"
"1699912011-424","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","29 - 18","Ishtar (Ishtar)","3 Events","Filmpodium Kino, Zürich (CH)"
"1699912011-425","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","Hallow Ground Label Night: Maria W Horn & Miki Yui","Samstag, 09. Dezember, 19:00","Kunstraum Walcheturm, Zürich (CH)"
"1699912011-426","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","Chakra Breathwork Group-Meditation","Samstag, 09. Dezember, 19:00","Yoga2be, Zürich (CH)"
"1699912011-427","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","O Heiland, reiss die Himmel auf","Samstag, 09. Dezember, 19:00","Wasserkirche, Zürich (CH)"
"1699912011-428","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","257ers","Samstag, 09. Dezember, 19:00","EXIL, Zürich (CH)"
"1699912011-429","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","9","Carols - Weihnachtliche Musik für Chor und Harfe","Samstag, 09. Dezember, 19:30","Augustinerkirche, Zürich (CH)"
"1699912011-430","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","9 - 10","Adventszeit, Zeit für Musik!","2 Events","Kirche Fraumünster, Zürich (CH)"
