web-scraper-order,web-scraper-start-url,is_eventgruppe,day,name,full_date,location,link,link-href
"1699913746-364","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Züri Xmas Tour,  8.12.23, 17h","Freitag, 08. Dezember, 17:00","Bahnhofplatz Zürich, Zürich (CH)","Wenige Tickets
							
					
		

						
				Dez
				8
			
			
			
				Züri Xmas Tour,  8.12.23, 17h
									Freitag, 08. Dezember, 17:00
								Bahnhofplatz Zürich, Zürich (CH)","https://eventfrog.ch/de/p/fuehrungen-vortraege/fuehrung/zueri-xmas-tour-8-12-23-17h-7116341993148477674.html"
"1699913746-365","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Singleandfriends Speed Dating / Speed Dating-Coaching","Freitag, 08. Dezember, 17:30","Gainsbourg, Zürich (CH)","Tickets
							
					
		

						
				Dez
				8
			
			
			
				Singleandfriends Speed Dating / Speed Dating-Coaching
									Freitag, 08. Dezember, 17:30
								Gainsbourg, Zürich (CH)","https://eventfrog.ch/de/p/dating/speed-dating/singleandfriends-speed-dating-speed-dating-coaching-7129425049765764212.html"
"1699913746-366","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","KEA - Kundalini Energy Activation","Freitag, 08. Dezember, 17:30","Yoga Studio Zürich, Zürich (CH)","Tickets
							
					
		

						
				Dez
				8
			
			
			
				KEA - Kundalini Energy Activation
									Freitag, 08. Dezember, 17:30
								Yoga Studio Zürich, Zürich (CH)","https://eventfrog.ch/de/p/gesundheit-spiritualitaet/spiritualitaet/kea-kundalini-energy-activation-7129380233300363854.html"
"1699913746-367","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Livingroom Pop-up by HANIMANNS","Freitag, 08. Dezember, 18:00","HANIMANNS, Zürich (CH)","Tickets
							
					
		

						
				Dez
				8
			
			
			
				Livingroom Pop-up by HANIMANNS
									Freitag, 08. Dezember, 18:00
								HANIMANNS, Zürich (CH)","https://eventfrog.ch/de/p/diverses/livingroom-pop-up-by-hanimanns-7129006837383279935.html"
"1699913746-368","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Selbstheilung anregen mit TRE und dem neurogenen Zittern","Freitag, 08. Dezember, 18:00","Entspannungspraxis, Zürich (CH)","Wenige Tickets
							
					
		

						
				Dez
				8
			
			
			
				Selbstheilung anregen mit TRE und dem neurogenen Zittern
									Freitag, 08. Dezember, 18:00
								Entspannungspraxis, Zürich (CH)","https://eventfrog.ch/de/p/gesundheit-spiritualitaet/gesundheit-wohlbefinden/selbstheilung-anregen-mit-tre-und-dem-neurogenen-zittern-7120736474484405154.html"
"1699913746-369","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Begegnungs-Dinner im Dezember","Freitag, 08. Dezember, 18:00","St. Anna Kapelle, Zürich (CH)","Dez
				8
			
			
			
				Begegnungs-Dinner im Dezember
									Freitag, 08. Dezember, 18:00
								St. Anna Kapelle, Zürich (CH)","https://eventfrog.ch/de/p/essen-trinken/begegnungs-dinner-im-dezember-7095998251887751945.html"
"1699913746-370","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Kinder-Kino","Freitag, 08. Dezember, 18:15","GZ Oerlikon | Saal, 1. OG, Zürich (CH)","Dez
				8
			
			
			
				Kinder-Kino
									Freitag, 08. Dezember, 18:15
								GZ Oerlikon | Saal, 1. OG, Zürich (CH)","https://eventfrog.ch/de/p/freizeit-ausfluege/film-kino/kinder-kino-7127572683793881572.html"
"1699913746-371","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Nachts alleine im Museum","Freitag, 08. Dezember, 18:30","Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)","Dez
				8
			
			
			
				Nachts alleine im Museum
									Freitag, 08. Dezember, 18:30
								Schweizerisches Nationalmuseum Landesmuseum Zürich, Zürich (CH)","https://eventfrog.ch/de/p/fuehrungen-vortraege/fuehrung/nachts-alleine-im-museum-7123271658370969327.html"
"1699913746-372","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","Eventgruppe","19 - 8","Die sieben Samurai (Shichinin no samurai)","2 Events","Filmpodium Kino, Zürich (CH)","Eventgruppe
				
					
		

							
					Nov - Dez
					19 - 8
				
			
			
				Die sieben Samurai (Shichinin no samurai)
									2 Events
								Filmpodium Kino, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/die-sieben-samurai-shichinin-no-samurai-7122774123688737785.html"
"1699913746-373","https://eventfrog.ch/de/events.html?sc=events&geoPlace=8000+Z%C3%BCrich&geoLat=47.378834000000005&geoLng=8.537472000000001&geoRadius=5&fromDate=2023-12-1&toDate=2023-12-31&page=50&y=113.5","","8","Badchieff","Freitag, 08. Dezember, 19:00","EXIL, Zürich (CH)","Ausverkauft
							
					
		

						
				Dez
				8
			
			
			
				Badchieff
									Freitag, 08. Dezember, 19:00
								EXIL, Zürich (CH)","https://eventfrog.ch/de/p/konzert/hip-hop-rap/badchieff-7056615571702326766.html"
