web-scraper-order,web-scraper-start-url,link,link-href,name,is_eventgruppe,datetime,location
"1699914567-3889","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				1984
									Dienstag, 19. Dezember, 19:30
								Theater Winterthur, Winterthur (CH)","https://eventfrog.ch/de/p/theater-buehne/1984-7065084979722517678.html","1984","","Dienstag, 19. Dezember, 19:30","Theater Winterthur, Winterthur (CH)"
"1699914567-3890","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				19
			
			
			
				Speeddating - Das Original
									2 Events
								Lirum Larum, Bar & Event, Bern (CH)","https://eventfrog.ch/de/p/gruppen/speeddating-das-original-6987348901758900342.html","Speeddating - Das Original","Eventgruppe","2 Events","Lirum Larum, Bar & Event, Bern (CH)"
"1699914567-3891","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Jan
				17
			
			
			
				Der Kontrabass
									3 Events
								Theater Rigiblick, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/der-kontrabass-7125646953329694298.html","Der Kontrabass","Eventgruppe","3 Events","Theater Rigiblick, Zürich (CH)"
"1699914567-3892","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Hermanos Gutiérrez
									Dienstag, 19. Dezember, 20:00
								Kaufleuten Club, Zürich (CH)","https://eventfrog.ch/de/p/konzert/world-ethno/hermanos-gutierrez-7120731311753382458.html","Hermanos Gutiérrez","","Dienstag, 19. Dezember, 20:00","Kaufleuten Club, Zürich (CH)"
"1699914567-3893","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Christmas Jam
									Dienstag, 19. Dezember, 20:00
								Schall und Rauch, Basel (CH)","https://eventfrog.ch/de/p/konzert/jazz-blues/christmas-jam-7099354109560435230.html","Christmas Jam","","Dienstag, 19. Dezember, 20:00","Schall und Rauch, Basel (CH)"
"1699914567-3894","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Roman Nowka’s Hot 3 &#038; Stephan Eicher «Mani Matter»
									Dienstag, 19. Dezember, 20:00
								Industrie36 Rorschach, Rorschach (CH)","https://eventfrog.ch/de/p/konzert/roman-nowkas-hot-3-038-stephan-eicher-mani-matter-7077772241446778969.html","Roman Nowka’s Hot 3 &#038; Stephan Eicher «Mani Matter»","","Dienstag, 19. Dezember, 20:00","Industrie36 Rorschach, Rorschach (CH)"
"1699914567-3895","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Tickets
							
					
		

						
				Dez
				19
			
			
			
				Roman Nowka’s Hot 3 & Stephan Eicher «Mani Matter»
									Dienstag, 19. Dezember, 20:00
								Industrie36, Rorschach (CH)","https://eventfrog.ch/de/p/konzert/pop-rock/roman-nowkas-hot-3-stephan-eicher-mani-matter-7069595478636019119.html","Roman Nowka’s Hot 3 & Stephan Eicher «Mani Matter»","","Dienstag, 19. Dezember, 20:00","Industrie36, Rorschach (CH)"
"1699914567-3896","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Diver
									Dienstag, 19. Dezember, 20:30
								The Bird's Eye Jazz Club, Basel (CH)","https://eventfrog.ch/de/p/konzert/jazz-blues/diver-7126161295636635767.html","Diver","","Dienstag, 19. Dezember, 20:30","The Bird's Eye Jazz Club, Basel (CH)"
"1699914567-3897","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

							
					Nov - Dez
					25 - 31
				
			
			
				Vertigo
									3 Events
								Filmpodium Kino, Zürich (CH)","https://eventfrog.ch/de/p/gruppen/vertigo-7122774909478970282.html","Vertigo","Eventgruppe","3 Events","Filmpodium Kino, Zürich (CH)"
"1699914567-3898","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				19
			
			
			
				Joan Faulkner Quartet feat. Harriet Lewis
									Dienstag, 19. Dezember, 21:30
								Marians Jazzroom, Bern (CH)","https://eventfrog.ch/de/p/konzert/jazz-blues/joan-faulkner-quartet-feat-harriet-lewis-7129844071024010594.html","Joan Faulkner Quartet feat. Harriet Lewis","","Dienstag, 19. Dezember, 21:30","Marians Jazzroom, Bern (CH)"
"1699914567-3899","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Dez
				20
			
			
			
				Unter dem Meer
									Mittwoch, 20. Dezember, 10:00
								Schauspielhaus Theater Basel, Basel (CH)","https://eventfrog.ch/de/p/klassik-opern/oper-operette/unter-dem-meer-7119581420587006290.html","Unter dem Meer","","Mittwoch, 20. Dezember, 10:00","Schauspielhaus Theater Basel, Basel (CH)"
"1699914567-3900","https://eventfrog.ch/de/events.html?sc=events&fromDate=2023-12-1&toDate=2023-12-31&page=100","Eventgruppe
				
					
		

						
				bis Dez
				20
			
			
			
				Gschichtli am Mittwuch i der Stadtbibliothek
									2 Events
								Stadtbibliothek Thun, Thun (CH)","https://eventfrog.ch/de/p/gruppen/gschichtli-am-mittwuch-fuer-kinder-ab-6-monaten-6991319324947303903.html","Gschichtli am Mittwuch i der Stadtbibliothek","Eventgruppe","2 Events","Stadtbibliothek Thun, Thun (CH)"
